clinic,city,tier,sti_pct,total_imp,imp_sti,imp_brand,imp_sexologist,imp_problem,imp_generic,imp_other,share_sti,share_brand,share_sexologist,share_problem,share_generic,share_other
Velachery,Chennai,top,39.0,13488,446,760,2065,106,9849,262,3.3066429418742582,5.634638196915777,15.309905100830367,0.7858837485172006,73.02046263345196,1.942467378410439
Mogappair,Chennai,top,35.0,1940,186,259,576,0,711,208,9.587628865979383,13.350515463917526,29.690721649484537,0.0,36.64948453608247,10.721649484536082
Nungambakkam,Chennai,top,34.0,14880,487,665,2163,113,11206,246,3.2728494623655915,4.469086021505377,14.536290322580644,0.7594086021505376,75.30913978494624,1.653225806451613
Thoraipakkam,Chennai,top,33.0,3485,254,241,484,15,2216,275,7.288378766140603,6.915351506456241,13.888091822094692,0.430416068866571,63.58680057388809,7.890961262553802
HSR Layout,Bangalore,top,32.0,5410,285,598,1344,57,2735,391,5.268022181146026,11.053604436229206,24.842883548983362,1.0536044362292052,50.554528650646944,7.22735674676525
Koramangala,Bangalore,top,31.0,6019,750,905,766,0,3238,360,12.460541618209005,15.035720219305531,12.72636650606413,0.0,53.79631167968101,5.9810599767403225
Tambaram,Chennai,top,30.0,2887,66,619,824,60,1191,127,2.28611014894354,21.440942154485626,28.541738829234497,2.0782819535850363,41.25389677866298,4.399030135088327
Electronic City,Bangalore,top,28.0,11867,361,309,567,0,10087,543,3.042049380635375,2.6038594421505015,4.777955675402376,0.0,85.00042133647932,4.5757141653324345
Bellandur,Bangalore,top,28.0,3196,333,553,747,0,1036,527,10.419274092615769,17.30287859824781,23.3729662077597,0.0,32.41551939924906,16.48936170212766
Kondapur,Hyderabad,top,28.0,9979,519,843,2565,70,5450,532,5.200921936065738,8.447740254534523,25.703978354544542,0.7014730934963422,54.61469085078665,5.3311955105722015
Jayanagar,Bangalore,mid,27.0,4811,593,532,1022,36,2189,439,12.325919767200165,11.057992101434214,21.24298482643941,0.7482851797963002,45.4998960715028,9.124922053627104
Indiranagar,Bangalore,mid,24.0,11578,308,2042,2113,54,6240,821,2.6602176541717046,17.636897564346175,18.25012955605459,0.4664017965106236,53.895318707894276,7.09103472102263
Baner,Pune,mid,24.0,2867,178,421,853,30,876,509,6.208580397628182,14.684339030345308,29.752354377397978,1.0463899546564353,30.55458667596791,17.753749564004185
Whitefield,Bangalore,mid,23.0,3429,363,379,907,0,1333,447,10.586176727909011,11.0527850685331,26.45086030912803,0.0,38.87430737824439,13.035870516185478
Andheri East,Mumbai,mid,23.0,13522,489,577,2382,25,2002,8047,3.616328945422275,4.267120248483952,17.615737316964946,0.1848838929152492,14.805502144653158,59.510427451560425
Kothrud,Pune,mid,22.0,4424,140,387,1365,79,1294,1159,3.1645569620253164,8.747739602169982,30.854430379746834,1.7857142857142856,29.249547920433994,26.198010849909586
Falnir Rd,Mangaluru,mid,22.0,1852,215,65,805,31,516,220,11.609071274298056,3.509719222462203,43.46652267818574,1.6738660907127432,27.861771058315334,11.879049676025918
KR Puram,Bangalore,mid,21.0,3560,207,256,875,75,1682,465,5.814606741573034,7.191011235955057,24.578651685393258,2.106741573033708,47.247191011235955,13.06179775280899
Wakad,Pune,mid,21.0,4742,332,263,2096,117,821,1113,7.001265288907634,5.546183045128638,44.20075917334458,2.467313369886124,17.313369886123997,23.471109236609024
Kukatpally,Hyderabad,mid,20.0,2948,309,588,1019,15,343,674,10.481682496607869,19.94572591587517,34.56580732700136,0.508819538670285,11.635006784260515,22.862957937584802
MVP Colony,Visakhapatnam,mid,20.0,371,15,60,121,0,15,160,4.0431266846361185,16.172506738544474,32.61455525606469,0.0,4.0431266846361185,43.126684636118604
Ghatkopar,Mumbai,mid,19.0,12744,363,687,2235,40,1941,7478,2.8483992467043313,5.390772128060264,17.537664783427495,0.31387319522912743,15.23069679849341,58.67859384808537
Kengeri,Bangalore,mid,18.0,1605,335,197,260,0,618,195,20.87227414330218,12.274143302180686,16.1993769470405,0.0,38.504672897196265,12.149532710280374
Ameerpet,Hyderabad,mid,18.0,3849,364,1061,1379,0,489,556,9.457001818654195,27.565601454923357,35.82748765913224,0.0,12.704598597038192,14.445310470252013
Sahakara Nagar,Bangalore,mid,17.0,5885,384,343,911,0,3505,742,6.525063721325404,5.828377230246389,15.480033984706882,0.0,59.55819881053526,12.608326253186068
Dadar,Mumbai,mid,17.0,4923,266,452,1024,45,878,2258,5.403209425147268,9.181393459272801,20.800325005078204,0.9140767824497258,17.834653666463538,45.866341661588464
Thane,Navi Mumbai,mid,17.0,4900,102,577,1150,30,1293,1748,2.0816326530612246,11.775510204081632,23.46938775510204,0.6122448979591837,26.387755102040817,35.673469387755105
Kharadi,Pune,mid,17.0,2771,169,240,1064,75,798,425,6.098881270299531,8.661133164922411,38.39769036448936,2.7066041140382535,28.798267773367016,15.337423312883436
Katraj,Pune,mid,17.0,1377,257,200,428,0,257,235,18.663761801016705,14.524328249818447,31.082062454611474,0.0,18.663761801016705,17.066085693536674
Bharathi Nagar,Coimbatore,mid,17.0,6061,493,285,1674,77,2956,576,8.133971291866029,4.702194357366771,27.61920475169114,1.2704174228675136,48.77082989605675,9.50338228015179
Sainikpuri,Hyderabad,mid,16.0,5344,288,208,1099,97,3262,390,5.389221556886228,3.8922155688622757,20.565119760479043,1.815119760479042,61.04041916167665,7.297904191616766
Kharghar,Navi Mumbai,mid,16.0,2693,108,250,956,30,610,739,4.010397326401782,9.28332714444857,35.499443000371336,1.1139992573338284,22.65131823245451,27.441515038989973
Hadapsar,Pune,mid,16.0,5327,132,335,1709,78,1796,1277,2.4779425567861835,6.288717852449784,32.08184719354233,1.464238783555472,33.71503660596959,23.97221700769664
Narsingi,Hyderabad,mid,14.0,2403,196,612,371,15,875,334,8.156471077819392,25.468164794007492,15.439034540158136,0.6242197253433208,36.412817311693715,13.899292550977943
Malad,Mumbai,mid,14.0,2056,172,431,866,0,287,300,8.365758754863812,20.963035019455255,42.12062256809339,0.0,13.959143968871595,14.591439688715955
Vidya Nagar,Hubli,mid,13.0,1752,137,90,334,0,692,499,7.819634703196347,5.136986301369863,19.06392694063927,0.0,39.49771689497717,28.48173515981735
Trimurti Chowk,Nashik,mid,12.0,4587,107,55,883,72,2480,990,2.332679311096577,1.1990407673860912,19.25005450185306,1.5696533682145193,54.065838238500106,21.58273381294964
Panvel,Mumbai,low,7.0,3178,337,215,484,15,1399,728,10.604153555695406,6.765261170547514,15.229704216488358,0.4719949653870359,44.02139710509755,22.90748898678414
Saraswathipuram,Mysuru,low,7.0,3824,152,188,660,130,2400,294,3.9748953974895396,4.916317991631799,17.259414225941423,3.3995815899581587,62.76150627615063,7.688284518828452
Tatya Tope Nagar,Nagpur,low,7.0,6573,83,257,1232,49,3059,1893,1.2627415183325725,3.9099345808610986,18.743343982960596,0.7454739084132056,46.53887113951012,28.799634869922407
Garkheda,Aurangabad,low,7.0,2100,60,81,613,45,951,350,2.857142857142857,3.8571428571428568,29.19047619047619,2.142857142857143,45.285714285714285,16.666666666666664
Chinchwad,Pune,low,6.0,1969,224,238,571,0,579,357,11.376333164042661,12.087353986795328,28.99949212798375,0.0,29.405789740985274,18.131030980192993
Nallagandla,Hyderabad,low,5.0,4741,30,358,490,15,2477,1371,0.6327778949588694,7.551149546509175,10.335372284328201,0.3163889474794347,52.24636152710399,28.917949799620335
Arekere,Bangalore,low,4.0,3952,119,418,849,30,2156,380,3.0111336032388665,10.576923076923077,21.482793522267208,0.7591093117408907,54.554655870445345,9.615384615384617
Kalyan West,Mumbai,low,4.0,2140,88,436,805,15,449,347,4.112149532710281,20.373831775700936,37.61682242990654,0.7009345794392523,20.981308411214954,16.214953271028037
Ashok Nagar,Ranchi,low,2.0,1947,313,113,870,15,357,279,16.076014381099128,5.803800719054957,44.684129429892145,0.7704160246533128,18.335901386748844,14.329738058551616
