city,n_locations,reviews_recent90,reviews_prior90,avg_stars_recent,avg_stars_prior,avg_response_rate,common_themes
Bengaluru,14,543,549,4.69,4.8,0.83,fees_high(4) · wait_time(2) · no_results(1)
Hyderabad,8,365,286,4.88,4.83,0.69,fees_high(1) · wait_time(1)
Pune,7,334,241,4.88,4.92,0.84,fees_high(3) · no_results(2) · wait_time(1)
Mumbai,8,270,222,4.88,4.91,0.84,fees_high(2) · wait_time(1)
Coimbatore,1,114,50,4.96,4.92,0.96,
Chennai,5,91,164,4.93,4.81,0.94,
Navi Mumbai,2,62,77,5,4.85,1.0,
Jaipur,1,54,0,4.91,,0.93,
Mysuru,1,44,68,5,5,1.0,
Aurangabad,1,37,0,5,,0.89,
Thane,1,35,48,4.89,5,1.0,fees_high(1) · rude_staff(1)
Mangaluru,1,32,71,4.84,4.9,0.97,
Ranchi,1,24,43,4.71,4.86,0.96,
Visakhapatnam,1,19,0,5,,0.47,
Bhopal,1,18,0,5,,1.0,
Vijayawada,1,14,51,5,4.84,0.86,
Hubballi,1,14,0,5,,1.0,
Nashik,1,12,69,5,4.94,1.0,
Nagpur,1,10,74,5,5,1.0,
Gandhinagar,1,5,0,5,,0.8,
Ahmedabad,1,4,0,5,,1.0,
Attapur,1,1,3,5,4.67,1.0,
गुरुग्राम,1,0,0,,,0.0,
New Delhi,1,0,1,,5,0.0,
