clinic,city,avg_sti_pct,sti_calls,total_calls
Velachery,Chennai,39,66,170
Mogappair,Chennai,35,13,37
Nungambakkam,Chennai,34,30,88
Thoraipakkam,Chennai,33,8,24
HSR Layout,Bangalore,32,36,112
Koramangala,Bangalore,31,33,107
Tambaram,Chennai,30,13,43
Electronic City,Bangalore,28,28,101
Bellandur,Bangalore,28,23,82
Kondapur,Hyderabad,28,48,173
Jayanagar,Bangalore,27,46,170
Indiranagar,Bangalore,24,35,144
Baner,Pune,24,12,51
Whitefield,Bangalore,23,30,132
Andheri East,Mumbai,23,24,105
Vijayanagar,Bangalore,22,23,105
Kothrud,Pune,22,21,96
Falnir Rd,Mangaluru,22,12,54
KR Puram,Bangalore,21,12,57
Wakad,Pune,21,12,56
Kukatpally,Hyderabad,20,16,82
MVP Colony,Visakhapatnam,20,3,15
Ghatkopar,Mumbai,19,27,143
Kengeri,Bangalore,18,4,22
Ameerpet,Hyderabad,18,14,77
Sahakara Nagar,Bangalore,17,22,132
Dadar,Mumbai,17,11,63
Thane,Navi Mumbai,17,21,123
Kharadi,Pune,17,17,98
Katraj,Pune,17,8,48
Suryaraopeta,Vijayawada,17,1,6
Bharathi Nagar,Coimbatore,17,18,108
Sainikpuri,Hyderabad,16,10,64
Kharghar,Navi Mumbai,16,14,90
Hadapsar,Pune,16,16,97
Narsingi,Hyderabad,14,12,86
Malad,Mumbai,14,3,22
Vidya Nagar,Hubli,13,2,16
Trimurti Chowk,Nashik,12,3,25
Vaishali Nagar,Jaipur,11,2,19
Panvel,Mumbai,7,2,28
Saraswathipuram,Mysuru,7,5,71
Tatya Tope Nagar,Nagpur,7,6,82
Garkheda,Aurangabad,7,2,29
Chinchwad,Pune,6,4,68
Bhimrad,Surat,6,1,17
Nallagandla,Hyderabad,5,1,19
Arekere,Bangalore,4,1,26
Kalyan West,Mumbai,4,5,119
Ashok Nagar,Ranchi,2,1,53
Paldi,Ahmedabad,0,0,3
Kudasan,Gandhinagar,0,0,1
Hebbal,Bangalore,,0,0
Attapur,Hyderabad,,0,0
Dilsukhnagar,Hyderabad,,0,0
Kemps Corner,Mumbai,,0,0
Rukhmini Nagar,Amravati,,0,0
Gulmohar,Bhopal,,0,0
