exotel_number,channel,final_source,notes
08046800927,Brand,Brand,Allo brand website number
08071175797,Brand,Brand,Old website number (system mis-tags gmb)
08046810621,Google Ads,Google paid,Google call campaign May-2024
08046801869,Google Ads,Google paid,Bangalore campaign Oct-2025
08045680040,Organic,Organic,Outbound calling by L2C team
08045680688,Google Ads,Google paid,Allo HIV test Google campaign Apr-2025
04045209828,GMB,GMB,Attapur clinic (closed)
08046809944,JustDial,Justdial,JustDial listing number
08045684567,Brand,Brand,Website support number
08046801373,Brand,Brand,Backup number to 08071175797
08047095391,Organic,Organic,Follow-up number on doctor card
08046802123,Google Ads,Google,Hubli paid campaign number
02248906252,GMB,GMB,Andheri clinic GMB listing
02248903813,GMB,GMB,Vashi clinic GMB listing
07314621004,Organic,Organic,Doctor-to-patient outbound
08071870308,Meta,Fb,Paid-social
08045687158,Organic,Organic,Organic_BTL
08037775204,Organic,Organic,No data / unclassified
08046810589,Organic,Blogs,Organic_Blogs
08044620617,Organic,Organic,Organic
08044620608,Organic,Organic,Organic
08047095288,Meta,Fb,Assessment report
07949107957,Meta,IG,IG_Collabs (influencer)
02248933970,GMB,GMB,Vashi GMB
08047282601,GMB,GMB,Brookefield GMB
08047281125,GMB,GMB,RT Nagar GMB
02248972076,GMB,GMB,Andheri East GMB
02048556750,GMB,GMB,Amravati GMB
08047282685,Meta,Fb,Assessment first
04440116568,Offline,Offline hoarding,Indiranagar MH hoarding
08047285082,GMB,GMB,RT Nagar GMB
02048557568,GMB,GMB,Amravati GMB
